,alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity,subject
900865,3.8242,-9.1114,-3.2194,0.68089,-0.5816100000000001,0.11984,-2.6723,-15.398,0.2092699999999999,-0.26863,-0.80698,0.72629,5,subject8
900866,3.8082,-9.317,-2.9903,0.6975899999999999,-0.59099,0.094303,-2.1485,-12.851,0.89912,-0.26863,-0.80698,0.72629,5,subject8
900867,3.3442,-9.5916,-2.7274,0.6975899999999999,-0.59099,0.094303,-1.0523,-10.395,0.54277,-0.21765,-0.80287,0.73707,5,subject8
900868,3.4038,-9.3332,-2.6305,0.6975899999999999,-0.59099,0.094303,-0.2057699999999999,-8.5197,0.03235,-0.21765,-0.80287,0.73707,5,subject8
900869,2.7195,-9.4038,-2.7555,0.69202,-0.5985,0.1080599999999999,0.099651,-8.774,-0.39703,-0.21765,-0.80287,0.73707,5,subject8
900870,2.5586,-9.2114,-2.3308,0.69202,-0.5985,0.1080599999999999,-0.30706,-9.7119,-0.19393,-0.24902,-0.7885,0.76293,5,subject8
900871,3.0961,-10.224,-1.6365,0.69202,-0.5985,0.1080599999999999,-0.53564,-9.9715,-0.15483,-0.24902,-0.7885,0.76293,5,subject8
900872,2.3592,-9.9368,-2.5878,0.66419,-0.58912,0.1080599999999999,-0.32903,-9.7312,-0.1219799999999999,-0.24902,-0.7885,0.76293,5,subject8
900873,2.3661,-9.6598,-1.626,0.66419,-0.58912,0.1080599999999999,-0.397,-9.011,-0.096382,-0.24902,-0.7885,0.76293,5,subject8
900874,2.4069,-9.7398,-1.7025,0.66419,-0.58912,0.1080599999999999,-0.62862,-8.5985,0.15341,-0.28824,-0.7659100000000001,0.7931,5,subject8
900875,2.8708,-9.445,-0.93312,0.66419,-0.58912,0.1080599999999999,-0.96989,-8.515,0.50133,-0.28824,-0.7659100000000001,0.7931,5,subject8
900876,3.2848,-9.3194,-1.2456,0.67718,-0.58537,0.15914,-1.2547,-8.3971,0.28848,-0.28824,-0.7659100000000001,0.7931,5,subject8
900877,3.1860000000000004,-8.9464,-1.5717,0.67718,-0.58537,0.15914,-1.3311,-7.5146,0.54094,-0.35294,-0.71663,0.7952600000000001,5,subject8
900878,3.4188,-8.357999999999999,-0.15454,0.67718,-0.58537,0.15914,-1.46,-7.3355,0.44572,-0.35294,-0.71663,0.7952600000000001,5,subject8
900879,3.5415,-8.8277,-0.5934699999999999,0.6864600000000001,-0.57411,0.17092,-1.2773,-6.8149,0.51342,-0.35294,-0.71663,0.7952600000000001,5,subject8
900880,3.5035,-8.8449,-0.33429,0.6864600000000001,-0.57411,0.17092,-1.2649,-6.5034,0.66442,-0.35294,-0.71663,0.7952600000000001,5,subject8
900881,3.3845,-8.9714,-0.11264,0.6864600000000001,-0.57411,0.17092,-1.285,-7.1744,0.55795,-0.35294,-0.71663,0.7952600000000001,5,subject8
900882,4.1495,-8.7817,0.050328,0.6864600000000001,-0.57411,0.17092,-1.3271,-7.4262,0.37869,-0.35294,-0.71663,0.7952600000000001,5,subject8
900883,3.0759,-9.0539,-0.44277,0.68275,-0.5647300000000001,0.15914,-1.7452,-7.676,0.39745,-0.35294,-0.71663,0.7952600000000001,5,subject8
900884,3.1552,-9.2163,-0.8355100000000001,0.68275,-0.5647300000000001,0.15914,-2.0437,-7.7762,0.3820199999999999,-0.35686,-0.7186899999999999,0.81034,5,subject8
900885,2.4142,-9.7424,-0.97339,0.68275,-0.5647300000000001,0.15914,-2.2807,-7.8469,0.30557,-0.35686,-0.7186899999999999,0.81034,5,subject8
900886,2.5928,-9.4976,-1.2406,0.69017,-0.57223,0.15521,-2.4171,-7.8648,0.5234300000000001,-0.35686,-0.7186899999999999,0.81034,5,subject8
900887,2.8354,-9.3098,-1.2809,0.69017,-0.57223,0.15521,-2.5316,-8.0659,0.4092,-0.35686,-0.7186899999999999,0.81034,5,subject8
900888,2.6446,-9.6167,-1.2773,0.69017,-0.57223,0.15521,-2.9061,-8.3036,0.6369,-0.35686,-0.7186899999999999,0.81034,5,subject8
900889,3.2363,-9.1468,-0.82081,0.69017,-0.57223,0.15521,-2.9726,-8.3048,0.5222600000000001,-0.35686,-0.7186899999999999,0.81034,5,subject8
900890,3.2703,-9.2537,-1.6071,0.68089,-0.5666,0.12967,-3.0993,-8.3457,0.42646,-0.35686,-0.7186899999999999,0.81034,5,subject8
900891,2.9558,-9.4919,-1.6638,0.68089,-0.5666,0.12967,-3.1709,-8.4848,0.52368,-0.3451,-0.72485,0.80172,5,subject8
900892,3.3824,-9.1839,-1.5608,0.68089,-0.5666,0.12967,-3.205,-8.3139,0.60514,-0.3451,-0.72485,0.80172,5,subject8
900893,3.7146,-9.2481,-1.0503,0.70501,-0.57599,0.084479,-2.9396,-8.4021,0.78823,-0.3451,-0.72485,0.80172,5,subject8
900894,3.4185,-8.6686,-1.5138,0.70501,-0.57599,0.084479,-3.0102,-8.6743,0.56628,-0.31961,-0.73922,0.80388,5,subject8
900895,3.3159,-8.9788,-0.8532799999999999,0.70501,-0.57599,0.084479,-2.9189,-8.6515,0.84867,-0.31961,-0.73922,0.80388,5,subject8
900896,4.0212,-9.0677,-0.8298399999999999,0.71614,-0.5647300000000001,0.053045,-3.1433,-8.4607,0.93113,-0.31961,-0.73922,0.80388,5,subject8
900897,3.7667,-9.1973,-1.9118,0.71614,-0.5647300000000001,0.053045,-2.8575,-8.3995,1.0488,-0.31961,-0.73922,0.80388,5,subject8
900898,3.7376,-8.9961,-2.5791,0.71614,-0.5647300000000001,0.053045,-3.0252,-8.7026,0.74195,-0.30784,-0.75359,0.80172,5,subject8
900899,2.6588,-9.1532,-2.4519,0.71614,-0.5647300000000001,0.053045,-3.0528,-8.8595,1.0466,-0.30784,-0.75359,0.80172,5,subject8
900900,3.0345,-9.1652,-2.6571,0.73098,-0.55535,-0.019646,-3.2768,-9.0011,0.8937,-0.30784,-0.75359,0.80172,5,subject8
900901,4.1976,-9.2753,-2.776,0.73098,-0.55535,-0.019646,-3.5198,-8.7708,0.91562,-0.3039199999999999,-0.77823,0.7844800000000001,5,subject8
