,alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity,subject
1192705,13.521,2.3146,-18.041,-0.31169,-0.8836799999999999,-0.4891899999999999,3.6404,-5.9304,-1.0361,-0.91765,-0.043121,-0.44828,10,subject10
1192706,-3.3372,2.2436,-18.213,-0.31169,-0.8836799999999999,-0.4891899999999999,4.4073,-5.823,-1.3016,-0.91765,-0.043121,-0.44828,10,subject10
1192707,4.8926,0.71913,-18.186,-0.31169,-0.8836799999999999,-0.4891899999999999,4.6569,-6.1452,-1.5156,-0.93137,-0.016427,-0.4461199999999999,10,subject10
1192708,19.586,-19.327,-18.875,-0.34694,-0.89681,-0.4558,3.3073,-6.7234,-1.3362,-0.93137,-0.016427,-0.4461199999999999,10,subject10
1192709,-21.161,-19.57,-19.357,-0.34694,-0.89681,-0.4558,0.18257,-7.2068,-0.6832600000000001,-0.93137,-0.016427,-0.4461199999999999,10,subject10
1192710,-5.4997,14.992,-17.628,-0.34694,-0.89681,-0.4558,-3.4816,-5.9496,0.035851,-0.93137,-0.016427,-0.4461199999999999,10,subject10
1192711,6.0864,-9.5024,3.2212,-0.11317,-0.72795,-0.8035399999999999,-8.3905,-9.3553,-0.53027,-0.93725,-0.15195,-0.42241,10,subject10
1192712,2.6892,-14.693,-5.9786,-0.11317,-0.72795,-0.8035399999999999,-17.896,-12.287,1.3023,-0.93725,-0.15195,-0.42241,10,subject10
1192713,9.3501,-12.067,-9.7078,-0.11317,-0.72795,-0.8035399999999999,-21.332,-16.195,4.4715,-0.93725,-0.15195,-0.42241,10,subject10
1192714,3.0294,-16.12,-7.057,-0.11317,-0.72795,-0.8035399999999999,-21.431,-12.571,5.8923,-0.8529399999999999,-0.47023,-0.37284,10,subject10
1192715,2.3659,-19.269,-4.1064,-0.14286,-0.57411,-0.93517,-21.43,-6.1361,4.3911,-0.8529399999999999,-0.47023,-0.37284,10,subject10
1192716,1.9871,-19.3,-4.2681,-0.14286,-0.57411,-0.93517,-17.699,-1.4189,4.1061,-0.8529399999999999,-0.47023,-0.37284,10,subject10
1192717,2.6559,-19.284,-1.6564,-0.14286,-0.57411,-0.93517,-12.856,0.058363,1.8363,-0.8529399999999999,-0.47023,-0.37284,10,subject10
1192718,-4.3482,-18.297,0.96874,-0.1577,-0.49156,-0.97839,-10.428,1.3879,0.78814,-0.77255,-0.5770000000000001,-0.40302,10,subject10
1192719,-10.521,-13.248,2.972,-0.1577,-0.49156,-0.97839,-11.375,2.5466,0.65858,-0.77255,-0.5770000000000001,-0.40302,10,subject10
1192720,0.090059,-13.487,7.7641,-0.1577,-0.49156,-0.97839,-10.228,3.1421,1.2092,-0.77255,-0.5770000000000001,-0.40302,10,subject10
1192721,9.6429,0.49827,-5.6182,-0.1577,-0.49156,-0.97839,-8.1247,3.2042,1.4206,-0.7117600000000001,-0.68788,-0.41595,10,subject10
1192722,13.694,-8.5488,-2.4051,-0.30427,-0.49531,-0.96071,-5.0254,3.1579,1.7933,-0.7117600000000001,-0.68788,-0.41595,10,subject10
1192723,7.773,-6.531000000000001,0.36576,-0.30427,-0.49531,-0.96071,-2.0864,2.8161,1.6096,-0.7117600000000001,-0.68788,-0.41595,10,subject10
1192724,-8.1899,-5.9638,3.6199,-0.30427,-0.49531,-0.96071,-0.63681,2.793,1.2959,-0.7117600000000001,-0.68788,-0.41595,10,subject10
1192725,-6.8271,-14.265999999999998,5.0622,-0.1577,-0.30582,-1.0727,0.11241,2.7799,0.99316,-0.67843,-0.71253,-0.40086,10,subject10
1192726,-6.9838,-16.489,5.5432,-0.1577,-0.30582,-1.0727,1.0266,2.443,0.29923,-0.67843,-0.71253,-0.40086,10,subject10
1192727,-7.8081,-14.937,5.2688,-0.1577,-0.30582,-1.0727,2.2058,2.0778,-0.21903,-0.67843,-0.71253,-0.40086,10,subject10
1192728,-4.3099,-17.439,4.637,-0.1243,0.030019,-1.1434,2.5172,1.9312,-0.88261,-0.7098,-0.68583,-0.36422,10,subject10
1192729,6.3753,-19.218,1.9883,-0.1243,0.030019,-1.1434,0.1534299999999999,1.8759,-0.4062,-0.7098,-0.68583,-0.36422,10,subject10
1192730,12.748,-19.203,-1.5202,-0.1243,0.030019,-1.1434,-5.3146,3.1444,1.4385,-0.7098,-0.68583,-0.36422,10,subject10
1192731,9.994,-16.153,-1.4473,-0.1243,0.030019,-1.1434,-18.681,1.1531,6.3077,-0.7098,-0.68583,-0.36422,10,subject10
1192732,4.9889,-13.519,-2.3865,-0.38776,0.22139,-1.0629,-21.559,-3.0137,7.6306,-0.7,-0.67762,-0.4116399999999999,10,subject10
1192733,4.4075,-8.8801,-3.8478,-0.38776,0.22139,-1.0629,-21.498,-8.8314,7.8605,-0.7,-0.67762,-0.4116399999999999,10,subject10
1192734,1.6924,-6.0112,-3.0961,-0.38776,0.22139,-1.0629,-21.37,-10.83,5.9585,-0.7,-0.67762,-0.4116399999999999,10,subject10
