,alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity,subject
28160,4.3791,-10.206,0.14805,0.5918399999999999,-0.52345,0.4891899999999999,-7.0015,-10.089,3.0789,-0.5764699999999999,-0.59959,0.75431,4,subject1
28161,5.4713,-9.5863,-0.21627,0.62338,-0.55347,0.39489,-6.3209,-10.026,2.3737,-0.5764699999999999,-0.59959,0.75431,4,subject1
28162,4.1823,-9.5796,-0.53091,0.62338,-0.55347,0.39489,-4.5576,-10.184,1.6471,-0.56667,-0.65298,0.72629,4,subject1
28163,1.4208,-9.3857,0.044924,0.62338,-0.55347,0.39489,-3.2267,-9.5227,1.7322,-0.56667,-0.65298,0.72629,4,subject1
28164,3.1137,-9.6868,-0.35945,0.64007,-0.59475,0.33792,-2.6922,-8.1222,1.7814,-0.56667,-0.65298,0.72629,4,subject1
28165,3.8886,-9.6774,-0.41373,0.64007,-0.59475,0.33792,-2.5455,-6.6726,1.7393,-0.56667,-0.65298,0.72629,4,subject1
28166,3.9723,-9.3052,0.16821,0.64007,-0.59475,0.33792,-2.6477,-6.2898,2.0188,-0.56275,-0.6632399999999999,0.72629,4,subject1
28167,3.2524,-8.6808,0.2339,0.64007,-0.59475,0.33792,-3.5317,-6.129,2.0998,-0.56275,-0.6632399999999999,0.72629,4,subject1
28168,3.3929,-8.4832,0.1931,0.67718,-0.60788,0.27898,-3.5314,-5.962999999999999,1.7019,-0.56275,-0.6632399999999999,0.72629,4,subject1
28169,5.4445,-8.9927,-0.25977,0.67718,-0.60788,0.27898,-2.9414,-6.0992,1.0805,-0.55294,-0.62834,0.72845,4,subject1
28170,3.1793,-9.4326,-0.68984,0.67718,-0.60788,0.27898,-2.6856,-6.5197,1.0282,-0.55294,-0.62834,0.72845,4,subject1
28171,0.8193,-10.475,0.02611,0.67347,-0.6097600000000001,0.2298599999999999,-2.2705,-6.9666,1.3392,-0.55294,-0.62834,0.72845,4,subject1
28172,2.3508,-10.984000000000002,-0.39028,0.67347,-0.6097600000000001,0.2298599999999999,-2.1678,-7.6884,1.1572,-0.55294,-0.62834,0.72845,4,subject1
28173,3.617,-10.043,-0.3826699999999999,0.67347,-0.6097600000000001,0.2298599999999999,-2.5895,-8.5517,0.83283,-0.55294,-0.62834,0.72845,4,subject1
28174,3.3222,-10.912,-0.11655,0.67347,-0.6097600000000001,0.2298599999999999,-2.7489,-9.1731,0.68718,-0.55294,-0.62834,0.72845,4,subject1
28175,2.6538,-11.707,-0.41298,0.67532,-0.6641699999999999,0.11984,-3.1027,-9.6835,0.6512399999999999,-0.55294,-0.62834,0.72845,4,subject1
28176,2.0233,-12.555,-0.024169,0.67532,-0.6641699999999999,0.11984,-3.5368,-10.008,1.2288,-0.5549,-0.6078,0.75431,4,subject1
28177,2.4015,-13.594,0.021406,0.67532,-0.6641699999999999,0.11984,-3.6962,-11.201,1.94,-0.5549,-0.6078,0.75431,4,subject1
28178,2.4406,-14.655,0.8333200000000001,0.62338,-0.7410899999999999,-0.0019646,-4.3805,-12.269,2.1053,-0.5549,-0.6078,0.75431,4,subject1
28179,2.1732,-16.776,3.61,0.62338,-0.7410899999999999,-0.0019646,-4.1228,-10.925999999999998,2.4016,-0.56667,-0.61602,0.75647,4,subject1
28180,2.8261,-17.275,7.1749,0.62338,-0.7410899999999999,-0.0019646,-3.8457,-10.646,2.4052,-0.56667,-0.61602,0.75647,4,subject1
28181,7.6962,-15.424,2.1599,0.5565899999999999,-0.7842399999999999,-0.2180699999999999,-5.1117,-13.388,2.1848,-0.56667,-0.61602,0.75647,4,subject1
28182,10.16,-18.88,-2.8632,0.5565899999999999,-0.7842399999999999,-0.2180699999999999,-7.0621,-17.205,2.4731,-0.56667,-0.61602,0.75647,4,subject1
28183,7.9263,-19.126,8.1959,0.5565899999999999,-0.7842399999999999,-0.2180699999999999,-7.5776,-13.466,2.41,-0.61373,-0.6037,0.7047399999999999,4,subject1
28184,4.6055,-14.632,5.1061,0.5565899999999999,-0.7842399999999999,-0.2180699999999999,-4.7413,-8.0162,1.3804,-0.61373,-0.6037,0.7047399999999999,4,subject1
28185,3.1252,-11.885,-1.4068,0.46753,-0.7955,-0.42043,-2.6209,-5.8203,0.9694,-0.61373,-0.6037,0.7047399999999999,4,subject1
28186,4.2257,-9.6261,2.738,0.46753,-0.7955,-0.42043,-1.5504,-8.8537,0.6302300000000001,-0.60196,-0.57084,0.74353,4,subject1
28187,0.81445,-6.8389,5.2183,0.46753,-0.7955,-0.42043,-2.1059,-9.7057,0.43138,-0.60196,-0.57084,0.74353,4,subject1
28188,-0.5388,-4.7766,1.5474,0.4564,-0.80113,-0.43026,-2.4227,-9.7632,0.6785100000000001,-0.60196,-0.57084,0.74353,4,subject1
28189,1.1374,-4.5745,-0.0194319999999999,0.4564,-0.80113,-0.43026,-3.3687,-9.8675,0.2462099999999999,-0.60196,-0.57084,0.74353,4,subject1
28190,3.4265,-5.2608,0.65664,0.4564,-0.80113,-0.43026,-3.5980000000000003,-8.8678,0.22328,-0.6078399999999999,-0.5646800000000001,0.7672399999999999,4,subject1
28191,2.0674,-6.5926,0.1493799999999999,0.4564,-0.80113,-0.43026,-3.2876,-7.2201,-0.0068368,-0.6078399999999999,-0.5646800000000001,0.7672399999999999,4,subject1
28192,1.2541,-7.5397,-0.49986,0.44156,-0.8536600000000001,-0.28684,-3.0878,-6.2267,0.3345,-0.6078399999999999,-0.5646800000000001,0.7672399999999999,4,subject1
28193,3.0363,-8.1933,-1.5043,0.44156,-0.8536600000000001,-0.28684,-2.9177,-6.1237,0.63132,-0.59608,-0.54004,0.7844800000000001,4,subject1
