,alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity,subject
1111297,1.0127,-9.3372,-5.0088,-0.28386,-0.41088,-0.11788,-3.2722,-12.501,1.9062,-0.4451,-0.32854,-0.084052,5,subject9
1111298,1.1511,-9.2013,-4.2923,-0.28386,-0.41088,-0.11788,-3.5992,-13.409,2.1108,-0.4451,-0.32854,-0.084052,5,subject9
1111299,1.4627,-10.176,-3.7025,-0.28386,-0.41088,-0.11788,-3.1633,-14.77,2.0323,-0.4451,-0.32854,-0.084052,5,subject9
1111300,2.2769,-9.2583,-5.0339,-0.28757,-0.40338,-0.12377,-2.5998,-15.183,1.72,-0.44118,-0.33881,-0.092672,5,subject9
1111301,1.5738,-9.9968,-3.6404,-0.28757,-0.40338,-0.12377,-1.9377,-15.037,1.269,-0.44118,-0.33881,-0.092672,5,subject9
1111302,2.4404,-8.9083,-5.6814,-0.28757,-0.40338,-0.12377,-1.641,-13.907,1.3359,-0.44118,-0.33881,-0.092672,5,subject9
1111303,1.8322,-9.504,-4.8527,-0.28757,-0.40338,-0.12377,-1.7286,-12.379,2.079,-0.42353,-0.35318,-0.099138,5,subject9
1111304,2.0625,-10.038,-3.7833,-0.26716,-0.40901,-0.066798,-1.6472,-11.197,2.3047,-0.42353,-0.35318,-0.099138,5,subject9
1111305,1.9388,-9.4494,-4.3489,-0.26716,-0.40901,-0.066798,-2.2321,-10.793,2.6687,-0.42353,-0.35318,-0.099138,5,subject9
1111306,2.0707,-9.4699,-3.4215,-0.26716,-0.40901,-0.066798,-2.6332,-9.9624,2.7623,-0.42353,-0.35318,-0.099138,5,subject9
1111307,2.2993,-9.3857,-2.9255,-0.27273,-0.41276,-0.033399,-2.4266,-9.6124,2.759,-0.41373,-0.37166,-0.088362,5,subject9
1111308,2.5616,-9.2784,-2.0946,-0.27273,-0.41276,-0.033399,-1.9664,-9.1441,2.5949,-0.41373,-0.37166,-0.088362,5,subject9
1111309,2.1377,-9.6637,-2.0139,-0.27273,-0.41276,-0.033399,-1.5845,-8.1148,2.5213,-0.41373,-0.37166,-0.088362,5,subject9
1111310,2.5467,-9.6529,-1.9259,-0.25046,-0.4015,0.027505,-1.3795,-6.7277,2.2261,-0.41373,-0.37988,-0.092672,5,subject9
1111311,1.8902,-9.446,-1.0367,-0.25046,-0.4015,0.027505,-1.3026,-6.049,2.1038,-0.41373,-0.37988,-0.092672,5,subject9
1111312,2.1154,-9.345,0.15807,-0.25046,-0.4015,0.027505,-1.1629,-5.1585,2.1483,-0.41373,-0.37988,-0.092672,5,subject9
1111313,3.0243,-8.7245,-0.17682,-0.25046,-0.4015,0.027505,-1.2424,-4.544,1.5957,-0.41373,-0.37988,-0.092672,5,subject9
1111314,3.084,-8.5357,0.8853,-0.27829,-0.3939999999999999,0.051081,-1.1482,-4.4757,1.4325,-0.41373,-0.38604,-0.11422,5,subject9
1111315,3.3259,-9.1588,-0.0392649999999999,-0.27829,-0.3939999999999999,0.051081,-1.3583,-4.0869,1.3061,-0.41373,-0.38604,-0.11422,5,subject9
1111316,2.5779,-9.3716,0.46345,-0.27829,-0.3939999999999999,0.051081,-1.6956,-4.6194,1.0607,-0.41373,-0.38604,-0.11422,5,subject9
1111317,0.50249,-9.7154,0.73801,-0.26531,-0.38274,0.074656,-1.9068,-4.9778,1.2199,-0.39608,-0.36961,-0.12284,5,subject9
1111318,2.7013,-9.7507,0.17489,-0.26531,-0.38274,0.074656,-2.0721,-5.5807,0.9293,-0.39608,-0.36961,-0.12284,5,subject9
1111319,1.9245,-9.1323,-0.35403,-0.26531,-0.38274,0.074656,-2.4422,-6.1089,1.1112,-0.39608,-0.36961,-0.12284,5,subject9
1111320,3.5171,-9.5416,-0.69191,-0.26531,-0.38274,0.074656,-2.2578,-6.8512,0.8761899999999999,-0.39608,-0.36961,-0.12284,5,subject9
1111321,1.9823,-10.325,0.14939,-0.26902,-0.3846199999999999,0.05501,-2.6935,-7.66,1.0024,-0.42157,-0.34702,-0.1293099999999999,5,subject9
1111322,2.5141,-9.7246,-1.1694,-0.26902,-0.3846199999999999,0.05501,-2.639,-7.997000000000001,1.2981,-0.42157,-0.34702,-0.1293099999999999,5,subject9
1111323,3.008,-9.4707,-1.5268,-0.26902,-0.3846199999999999,0.05501,-2.9179,-8.3063,1.3659,-0.42157,-0.34702,-0.1293099999999999,5,subject9
1111324,2.2647,-10.638,0.52198,-0.24119,-0.3939999999999999,0.086444,-3.4012,-8.375,1.4979,-0.41765,-0.3655,-0.14009,5,subject9
1111325,3.0661,-8.7341,-2.1248,-0.24119,-0.3939999999999999,0.086444,-4.0746,-8.1579,2.2067,-0.41765,-0.3655,-0.14009,5,subject9
1111326,3.0842,-8.9262,-1.5301,-0.24119,-0.3939999999999999,0.086444,-4.3447,-8.2343,2.5675,-0.41765,-0.3655,-0.14009,5,subject9
